elapsed_minutes,temperature_lower_offset,temperature_upper_offset,process_pressure_lower_offset,process_pressure_upper_offset,flow_rate_lower_offset,flow_rate_upper_offset,agitator_rpm_lower_offset,agitator_rpm_upper_offset
362,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
363,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
364,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
365,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
366,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
367,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
368,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
369,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
370,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
371,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
372,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
373,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
374,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
375,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
376,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
377,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
378,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
379,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
380,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
381,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
382,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
383,-14.65,2.405,-0.18,0.07,-30.3,19.707,-0.4,0.4
